State Name,Food Insecurity Rate (aggregate of counties), Number Food Insecure Individuals ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold, Weighted Annual Dollars , Cost Per Meal ,Child Food Insecurity Rate (aggregate of counties), Number Food Insecure Children (aggregate of counties) ,% of children in FI HH with incomes at or below 185% FPL,% of children in FI HH with incomes above 185% FPL
AK,13.5%," 90,300 ",130%,SNAP,185%,other nutrition pgm,40%,17%,42%,n/a,n/a,21.2%," 38,090 ",55%,45%
AL,17.8%," 826,770 ",130%,SNAP,185%,other nutrition pgm,46%,23%,32%," $354,008,530 ", $2.56 ,26.6%," 299,390 ",67%,33%
AR,17.8%," 506,600 ",130%,SNAP,185%,other nutrition pgm,49%,20%,30%," $209,177,940 ", $2.47 ,28.6%," 200,290 ",68%,32%
AZ,17.4%," 1,100,570 ",185%,SNAP,185%,SNAP,62%,0%,38%," $446,958,770 ", $2.43 ,28.8%," 482,340 ",65%,35%
CA,16.7%," 6,053,470 ",130%,SNAP,185%,other nutrition pgm,48%,19%,33%," $2,671,625,540 ", $2.64 ,27.3%," 2,580,080 ",63%,37%
CO,14.3%," 694,760 ",130%,SNAP,185%,other nutrition pgm,42%,16%,42%," $297,484,150 ", $2.56 ,22.7%," 271,660 ",57%,43%
CT,12.3%," 428,090 ",185%,SNAP,185%,SNAP,48%,0%,52%," $199,287,270 ", $2.79 ,18.9%," 155,560 ",50%,50%
DC,15.8%," 93,180 ",200%,SNAP,200%,SNAP,63%,0%,37%," $53,026,060 ", $3.41 ,32.3%," 36,870 ",64%,36%
DE,12.2%," 105,810 ",200%,SNAP,200%,SNAP,55%,0%,45%," $46,697,960 ", $2.64 ,19.7%," 40,520 ",56%,44%
FL,17.1%," 3,115,650 ",200%,SNAP,200%,SNAP,63%,0%,37%," $1,364,476,980 ", $2.62 ,27.5%," 1,116,260 ",61%,39%
GA,17.8%," 1,693,710 ",130%,SNAP,185%,other nutrition pgm,45%,19%,36%," $705,092,200 ", $2.49 ,27.9%," 702,520 ",61%,39%
HI,12.7%," 162,420 ",200%,SNAP,200%,SNAP,53%,0%,47%,n/a,n/a,20.8%," 60,250 ",45%,55%
IA,12.8%," 382,510 ",160%,SNAP,185%,other nutrition pgm,50%,7%,43%," $151,122,920 ", $2.36 ,20.6%," 146,000 ",55%,45%
ID,15.8%," 235,970 ",130%,SNAP,185%,other nutrition pgm,43%,19%,37%," $105,844,830 ", $2.68 ,23.4%," 95,150 ",63%,37%
IL,14.7%," 1,873,010 ",130%,SNAP,185%,other nutrition pgm,41%,18%,42%," $736,018,850 ", $2.35 ,23.3%," 745,310 ",61%,39%
IN,16.2%," 1,027,600 ",130%,SNAP,185%,other nutrition pgm,45%,15%,40%," $389,851,730 ", $2.27 ,24.5%," 388,640 ",62%,38%
KS,14.3%," 395,870 ",130%,SNAP,185%,other nutrition pgm,44%,16%,40%," $164,968,840 ", $2.49 ,22.6%," 158,040 ",60%,40%
KY,16.8%," 716,040 ",130%,SNAP,185%,other nutrition pgm,55%,16%,30%," $285,629,450 ", $2.39 ,24.1%," 243,920 ",73%,27%
LA,14.6%," 644,540 ",130%,SNAP,185%,other nutrition pgm,49%,19%,32%," $265,587,090 ", $2.47 ,22.1%," 246,720 ",69%,31%
MA,11.2%," 727,530 ",200%,SNAP,200%,SNAP,55%,0%,45%," $346,402,980 ", $2.85 ,18.1%," 262,650 ",53%,47%
MD,11.6%," 651,370 ",200%,SNAP,200%,SNAP,53%,0%,47%," $293,279,010 ", $2.69 ,17.8%," 242,910 ",50%,50%
ME,15.1%," 198,790 ",185%,SNAP,185%,SNAP,57%,0%,43%," $91,361,000 ", $2.75 ,24.6%," 68,950 ",61%,39%
