FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall 
1001,AL,"Autauga County, Alabama",13.40%,"7,140",130.00%,SNAP,185.00%,Other Nutrition Program,32.70%,20.80%,46.50%,20.30%,"2,980",51%,49%,$2.58 ,"$3,170,830 "
1003,AL,"Baldwin County, Alabama",13.40%,"23,570",130.00%,SNAP,185.00%,Other Nutrition Program,34.70%,28.70%,36.60%,23.80%,"9,720",59%,41%,$2.64 ,"$10,710,730 "
1005,AL,"Barbour County, Alabama",23.20%,"6,440",130.00%,SNAP,185.00%,Other Nutrition Program,47.90%,17.10%,35.00%,25.80%,"1,600",87%,13%,$2.53 ,"$2,804,540 "
1007,AL,"Bibb County, Alabama",15.70%,"3,550",130.00%,SNAP,185.00%,Other Nutrition Program,35.80%,28.80%,35.40%,24.90%,"1,300",64%,36%,$2.55 ,"$1,558,200 "
1009,AL,"Blount County, Alabama",12.60%,"7,160",130.00%,SNAP,185.00%,Other Nutrition Program,41.00%,30.50%,28.50%,25.40%,"3,540",53%,47%,$2.50 ,"$3,081,120 "
1011,AL,"Bullock County, Alabama",28.50%,"3,110",130.00%,SNAP,185.00%,Other Nutrition Program,55.30%,19.70%,25.00%,29.10%,730,95%,5%,$3.04 ,"$1,627,380 "
1013,AL,"Butler County, Alabama",23.10%,"4,820",130.00%,SNAP,185.00%,Other Nutrition Program,55.70%,21.10%,23.20%,25.70%,"1,270",92%,8%,$2.49 ,"$2,065,870 "
1015,AL,"Calhoun County, Alabama",17.10%,"20,020",130.00%,SNAP,185.00%,Other Nutrition Program,46.80%,22.40%,30.80%,25.40%,"6,760",69%,31%,$2.59 ,"$8,925,230 "
1017,AL,"Chambers County, Alabama",22.50%,"7,770",130.00%,SNAP,185.00%,Other Nutrition Program,50.00%,23.90%,26.10%,26.90%,"2,160",82%,18%,$2.44 ,"$3,263,370 "
1019,AL,"Cherokee County, Alabama",14.60%,"3,750",130.00%,SNAP,185.00%,Other Nutrition Program,49.20%,25.80%,25.00%,27.70%,"1,470",59%,41%,$2.52 ,"$1,626,630 "
1021,AL,"Chilton County, Alabama",15.30%,"6,590",130.00%,SNAP,185.00%,Other Nutrition Program,47.80%,31.90%,20.30%,27.60%,"2,960",68%,32%,$2.52 ,"$2,858,520 "
1023,AL,"Choctaw County, Alabama",21.10%,"2,970",130.00%,SNAP,185.00%,Other Nutrition Program,51.70%,21.20%,27.10%,22.90%,750,75%,25%,$2.85 ,"$1,456,990 "
1025,AL,"Clarke County, Alabama",26.50%,"6,950",130.00%,SNAP,185.00%,Other Nutrition Program,56.10%,15.40%,28.50%,30.40%,"2,040",78%,23%,$2.48 ,"$2,966,830 "
1027,AL,"Clay County, Alabama",19.40%,"2,720",130.00%,SNAP,185.00%,Other Nutrition Program,42.40%,27.90%,29.70%,27.70%,850,76%,24%,$2.86 ,"$1,339,030 "
1029,AL,"Cleburne County, Alabama",14.00%,"2,070",130.00%,SNAP,185.00%,Other Nutrition Program,43.20%,44.20%,12.60%,26.10%,890,63%,38%,$2.80 ,"$997,660 "
1031,AL,"Coffee County, Alabama",14.50%,"7,010",130.00%,SNAP,185.00%,Other Nutrition Program,45.90%,23.90%,30.20%,24.20%,"2,800",67%,33%,$2.62 ,"$3,161,370 "
1033,AL,"Colbert County, Alabama",15.80%,"8,620",130.00%,SNAP,185.00%,Other Nutrition Program,41.70%,24.40%,33.90%,25.40%,"3,050",67%,33%,$2.54 ,"$3,768,740 "
1035,AL,"Conecuh County, Alabama",27.70%,"3,710",130.00%,SNAP,185.00%,Other Nutrition Program,58.70%,20.80%,20.50%,33.30%,"1,060",89%,11%,$2.84 ,"$1,813,630 "
1037,AL,"Coosa County, Alabama",20.40%,"2,340",130.00%,SNAP,185.00%,Other Nutrition Program,42.20%,26.40%,31.40%,23.90%,580,93%,7%,$2.88 ,"$1,160,020 "
1039,AL,"Covington County, Alabama",16.00%,"6,010",130.00%,SNAP,185.00%,Other Nutrition Program,49.30%,29.30%,21.40%,26.70%,"2,250",70%,30%,$2.54 ,"$2,627,630 "
1041,AL,"Crenshaw County, Alabama",16.30%,"2,270",130.00%,SNAP,185.00%,Other Nutrition Program,44.00%,29.40%,26.70%,24.60%,820,70%,30%,$2.78 ,"$1,086,240 "
1043,AL,"Cullman County, Alabama",13.60%,"10,880",130.00%,SNAP,185.00%,Other Nutrition Program,44.00%,34.60%,21.40%,26.30%,"4,890",60%,40%,$2.63 ,"$4,925,390 "
1045,AL,"Dale County, Alabama",15.00%,"7,470",130.00%,SNAP,185.00%,Other Nutrition Program,39.00%,27.90%,33.10%,22.30%,"2,740",68%,32%,$2.33 ,"$2,995,930 "
1047,AL,"Dallas County, Alabama",31.30%,"13,790",130.00%,SNAP,185.00%,Other Nutrition Program,60.30%,14.80%,24.90%,31.00%,"3,660",94%,6%,$2.56 ,"$6,076,590 "
1049,AL,"DeKalb County, Alabama",16.00%,"11,210",130.00%,SNAP,185.00%,Other Nutrition Program,51.70%,39.10%,9.10%,31.20%,"5,630",69%,32%,$2.51 ,"$4,843,230 "
1051,AL,"Elmore County, Alabama",14.40%,"11,170",130.00%,SNAP,185.00%,Other Nutrition Program,31.40%,20.40%,48.10%,21.30%,"3,960",56%,44%,$2.57 ,"$4,941,310 "
1053,AL,"Escambia County, Alabama",20.80%,"7,910",130.00%,SNAP,185.00%,Other Nutrition Program,48.40%,17.70%,33.90%,29.20%,"2,570",76%,24%,$2.55 ,"$3,471,940 "
1055,AL,"Etowah County, Alabama",15.80%,"16,400",130.00%,SNAP,185.00%,Other Nutrition Program,44.50%,28.40%,27.10%,25.40%,"6,000",71%,30%,$2.43 ,"$6,859,710 "
1057,AL,"Fayette County, Alabama",17.30%,"3,030",130.00%,SNAP,185.00%,Other Nutrition Program,42.50%,31.60%,25.90%,26.90%,"1,060",69%,31%,$2.50 ,"$1,303,880 "
1059,AL,"Franklin County, Alabama",15.10%,"4,750",130.00%,SNAP,185.00%,Other Nutrition Program,46.40%,39.80%,13.80%,29.00%,"2,190",67%,34%,$2.50 ,"$2,044,040 "
1061,AL,"Geneva County, Alabama",14.80%,"3,940",130.00%,SNAP,185.00%,Other Nutrition Program,48.70%,42.40%,8.90%,24.00%,"1,390",83%,17%,$2.53 ,"$1,715,820 "
1063,AL,"Greene County, Alabama",32.20%,"2,980",130.00%,SNAP,185.00%,Other Nutrition Program,66.60%,14.20%,19.10%,27.30%,640,100%,0%,$2.95 ,"$1,513,190 "
1065,AL,"Hale County, Alabama",24.90%,"4,020",130.00%,SNAP,185.00%,Other Nutrition Program,56.30%,21.40%,22.30%,23.30%,980,100%,0%,$2.87 ,"$1,985,930 "
1067,AL,"Henry County, Alabama",17.00%,"2,920",130.00%,SNAP,185.00%,Other Nutrition Program,41.10%,24.40%,34.40%,21.70%,820,78%,22%,$2.73 ,"$1,372,150 "
1069,AL,"Houston County, Alabama",16.30%,"16,100",130.00%,SNAP,185.00%,Other Nutrition Program,44.00%,24.70%,31.20%,23.20%,"5,630",72%,28%,$2.48 ,"$6,872,790 "
1071,AL,"Jackson County, Alabama",14.80%,"7,910",130.00%,SNAP,185.00%,Other Nutrition Program,46.70%,33.90%,19.40%,27.20%,"3,250",71%,29%,$2.56 ,"$3,485,560 "
1073,AL,"Jefferson County, Alabama",18.40%,"121,010",130.00%,SNAP,185.00%,Other Nutrition Program,39.00%,18.20%,42.80%,20.40%,"31,260",73%,27%,$2.39 ,"$49,782,280 "
1075,AL,"Lamar County, Alabama",18.30%,"2,690",130.00%,SNAP,185.00%,Other Nutrition Program,44.90%,35.10%,20.00%,28.60%,940,79%,21%,$2.80 ,"$1,296,480 "
1077,AL,"Lauderdale County, Alabama",15.00%,"13,790",130.00%,SNAP,185.00%,Other Nutrition Program,42.30%,26.90%,30.80%,25.60%,"5,090",64%,36%,$2.35 ,"$5,578,120 "
1079,AL,"Lawrence County, Alabama",15.60%,"5,350",130.00%,SNAP,185.00%,Other Nutrition Program,40.80%,34.60%,24.70%,25.10%,"2,020",72%,28%,$2.53 ,"$2,329,860 "
1081,AL,"Lee County, Alabama",16.40%,"22,130",130.00%,SNAP,185.00%,Other Nutrition Program,45.20%,21.40%,33.40%,20.90%,"6,320",62%,38%,$2.57 ,"$9,789,720 "
1083,AL,"Limestone County, Alabama",13.70%,"10,770",130.00%,SNAP,185.00%,Other Nutrition Program,37.00%,25.10%,37.80%,22.90%,"4,330",56%,44%,$2.68 ,"$4,968,280 "
1085,AL,"Lowndes County, Alabama",29.30%,"3,440",130.00%,SNAP,185.00%,Other Nutrition Program,54.40%,18.00%,27.50%,27.10%,810,95%,5%,$3.09 ,"$1,829,670 "
1087,AL,"Macon County, Alabama",29.10%,"6,320",130.00%,SNAP,185.00%,Other Nutrition Program,48.20%,12.20%,39.60%,23.30%,"1,060",100%,0%,$2.92 ,"$3,176,550 "
1089,AL,"Madison County, Alabama",13.80%,"44,670",130.00%,SNAP,185.00%,Other Nutrition Program,33.90%,18.60%,47.50%,19.70%,"15,160",54%,46%,$2.42 ,"$18,607,450 "
1091,AL,"Marengo County, Alabama",23.90%,"5,080",130.00%,SNAP,185.00%,Other Nutrition Program,51.30%,18.40%,30.30%,23.30%,"1,270",88%,12%,$2.50 ,"$2,186,050 "
1093,AL,"Marion County, Alabama",17.50%,"5,380",130.00%,SNAP,185.00%,Other Nutrition Program,45.50%,32.10%,22.40%,32.10%,"2,130",66%,34%,$2.50 ,"$2,315,140 "
1095,AL,"Marshall County, Alabama",13.90%,"12,650",130.00%,SNAP,185.00%,Other Nutrition Program,49.00%,35.80%,15.10%,29.30%,"6,630",63%,37%,$2.48 ,"$5,400,050 "
1097,AL,"Mobile County, Alabama",19.10%,"78,200",130.00%,SNAP,185.00%,Other Nutrition Program,45.10%,20.90%,34.10%,24.10%,"24,670",76%,24%,$2.60 ,"$34,997,400 "
1099,AL,"Monroe County, Alabama",26.20%,"6,120",130.00%,SNAP,185.00%,Other Nutrition Program,54.20%,17.80%,28.00%,32.20%,"1,950",81%,19%,$2.55 ,"$2,686,260 "
1101,AL,"Montgomery County, Alabama",20.60%,"47,030",130.00%,SNAP,185.00%,Other Nutrition Program,43.10%,14.40%,42.50%,20.80%,"11,570",83%,17%,$2.43 ,"$19,671,470 "
1103,AL,"Morgan County, Alabama",14.80%,"17,370",130.00%,SNAP,185.00%,Other Nutrition Program,39.30%,29.20%,31.50%,25.30%,"7,130",63%,37%,$2.40 ,"$7,175,740 "
1105,AL,"Perry County, Alabama",29.90%,"3,190",130.00%,SNAP,185.00%,Other Nutrition Program,64.20%,18.30%,17.40%,28.20%,760,100%,0%,$2.88 ,"$1,581,390 "
1107,AL,"Pickens County, Alabama",22.90%,"4,560",130.00%,SNAP,185.00%,Other Nutrition Program,57.20%,12.60%,30.30%,26.70%,"1,290",77%,23%,$2.87 ,"$2,252,690 "
1109,AL,"Pike County, Alabama",20.20%,"6,500",130.00%,SNAP,185.00%,Other Nutrition Program,56.20%,17.10%,26.70%,24.60%,"1,660",81%,19%,$2.57 ,"$2,875,430 "
1111,AL,"Randolph County, Alabama",19.70%,"4,510",130.00%,SNAP,185.00%,Other Nutrition Program,46.00%,25.00%,28.90%,27.80%,"1,450",77%,24%,$2.48 ,"$1,925,240 "
1113,AL,"Russell County, Alabama",21.20%,"10,970",130.00%,SNAP,185.00%,Other Nutrition Program,51.80%,24.50%,23.70%,25.90%,"3,420",89%,11%,$2.54 ,"$4,796,190 "
1115,AL,"St. Clair County, Alabama",13.30%,"10,720",130.00%,SNAP,185.00%,Other Nutrition Program,37.20%,25.10%,37.70%,22.60%,"4,290",51%,49%,$2.54 ,"$4,686,880 "
1117,AL,"Shelby County, Alabama",10.70%,"20,120",130.00%,SNAP,185.00%,Other Nutrition Program,25.60%,21.50%,52.80%,19.20%,"9,260",39%,61%,$2.59 ,"$8,969,810 "
1119,AL,"Sumter County, Alabama",30.50%,"4,230",130.00%,SNAP,185.00%,Other Nutrition Program,59.40%,17.60%,23.00%,29.90%,990,100%,0%,$2.90 ,"$2,111,510 "
1121,AL,"Talladega County, Alabama",19.60%,"16,130",130.00%,SNAP,185.00%,Other Nutrition Program,44.30%,23.90%,31.80%,25.30%,"4,720",81%,19%,$2.55 ,"$7,079,950 "
1123,AL,"Tallapoosa County, Alabama",19.60%,"8,120",130.00%,SNAP,185.00%,Other Nutrition Program,42.60%,26.40%,31.00%,26.90%,"2,520",76%,24%,$2.54 ,"$3,550,140 "
1125,AL,"Tuscaloosa County, Alabama",17.40%,"32,720",130.00%,SNAP,185.00%,Other Nutrition Program,43.50%,17.20%,39.20%,20.70%,"8,280",67%,33%,$2.66 ,"$14,981,340 "
1127,AL,"Walker County, Alabama",16.00%,"10,820",130.00%,SNAP,185.00%,Other Nutrition Program,45.10%,29.90%,25.00%,28.80%,"4,370",60%,40%,$2.54 ,"$4,730,600 "
1129,AL,"Washington County, Alabama",20.40%,"3,580",130.00%,SNAP,185.00%,Other Nutrition Program,49.20%,22.20%,28.60%,28.10%,"1,250",68%,32%,$2.80 ,"$1,725,430 "
