State,FIPS,2010 Food Insecurity Rate, Estimated Number of Food Insecure Persons in 2010  ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child Food Insecurity Rate, Number of Food Insecure Children in 2010 ,% of Food Insecure Children in HH w/HH Incomes Below 185 FPL,% of Food Insecure Children in HH w/HH Incomes Above 185 FPL, 2010 Cost Per Meal , Weighted Annual Dollars in 2010 
AK,2013,14.6%," 104,510 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.2%,21.1%,39.7%,19.9%," 36,670 ",54%,46%, $2.67 ," $48,031,340 "
AL,1001,19.2%," 919,670 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.7%,21.8%,32.5%,26.7%," 298,960 ",70%,30%, $2.48 ," $392,590,090 "
AR,5001,19.2%," 560,410 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.5%,22.0%,30.5%,27.8%," 194,460 ",71%,29%, $2.40 ," $231,511,600 "
AZ,4001,19.0%," 1,216,900 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",68.1%,0.0%,31.9%,29.0%," 466,010 ",71%,29%, $2.40 ," $502,714,910 "
CA,6001,17.1%," 6,403,510 ",130.0%,SNAP,185.0%,Other Nutrition Program,50.8%,21.2%,28.1%,26.8%," 2,453,770 ",67%,33%, $2.55 ," $2,810,696,200 "
CO,8001,15.5%," 783,380 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.9%,18.1%,37.0%,22.1%," 268,650 ",62%,38%, $2.43 ," $327,668,270 "
CT,9001,13.8%," 493,020 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",51.6%,0.0%,48.4%,18.8%," 151,530 ",55%,45%, $2.73 ," $231,676,950 "
DC,11001,16.5%," 99,490 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",60.4%,0.0%,39.6%,30.7%," 30,850 ",67%,33%, $3.41 ," $58,396,850 "
DE,10001,12.8%," 114,940 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",57.1%,0.0%,42.9%,18.4%," 37,240 ",63%,37%, $2.63 ," $52,033,440 "
FL,12001,19.2%," 3,609,200 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",66.9%,0.0%,33.1%,28.4%," 1,117,730 ",67%,33%, $2.62 ," $1,627,675,680 "
GA,13001,19.9%," 1,936,470 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.9%,21.3%,32.8%,28.3%," 694,530 ",67%,33%, $2.49 ," $829,976,420 "
HI,15001,14.0%," 190,300 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",52.3%,0.0%,47.7%,21.7%," 64,430 ",47%,53%, $2.60 ," $85,166,300 "
IA,19001,13.4%," 408,280 ",160.0%,SNAP,185.0%,Other Nutrition Program,48.8%,9.5%,41.8%,19.5%," 138,340 ",57%,43%, $2.35 ," $165,151,150 "
ID,16001,17.0%," 267,620 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.1%,21.0%,33.9%,22.8%," 96,660 ",65%,35%, $2.69 ," $123,915,740 "
IL,17001,15.0%," 1,932,580 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.7%,20.2%,38.1%,22.2%," 684,960 ",66%,34%, $2.40 ," $798,370,270 "
IN,18001,16.2%," 1,050,030 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.5%,19.6%,32.9%,22.7%," 358,120 ",70%,30%, $2.41 ," $435,586,470 "
KS,20001,15.0%," 428,490 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.5%,17.4%,37.2%,22.7%," 162,030 ",64%,36%, $2.52 ," $185,864,680 "
KY,21001,17.3%," 750,420 ",130.0%,SNAP,185.0%,Other Nutrition Program,53.2%,18.1%,28.8%,22.7%," 226,790 ",74%,26%, $2.43 ," $313,881,930 "
LA,22001,16.7%," 759,740 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.5%,20.4%,34.1%,23.1%," 253,750 ",69%,31%, $2.37 ," $309,933,820 "
MA,25001,12.3%," 806,480 ",200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",56.9%,0.0%,43.1%,16.8%," 235,480 ",60%,40%, $2.81 ," $390,081,680 "
