FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall
1001,AL,"Autauga County, Alabama",13.60%,"7,310",130%,SNAP,185%,Other Nutrition Program,38.50%,17.00%,44.50%,19.60%,2890,63%,37%,$2.82 ,"$3,360,680.00 "
1003,AL,"Baldwin County, Alabama",13.10%,"23,540",130%,SNAP,185%,Other Nutrition Program,42.60%,21.30%,36.10%,23.00%,9550,73%,27%,$2.93 ,"$11,244,360.00 "
1005,AL,"Barbour County, Alabama",23.00%,"6,330",130%,SNAP,185%,Other Nutrition Program,54.40%,21.10%,24.50%,25.90%,1590,79%,21%,$2.83 ,"$2,920,460.00 "
1007,AL,"Bibb County, Alabama",15.80%,"3,590",130%,SNAP,185%,Other Nutrition Program,51.60%,21.90%,26.50%,24.80%,1330,87%,13%,$2.72 ,"$1,591,930.00 "
1009,AL,"Blount County, Alabama",12.10%,"6,900",130%,SNAP,185%,Other Nutrition Program,52.30%,18.40%,29.30%,24.50%,3440,72%,28%,$2.64 ,"$2,969,710.00 "
1011,AL,"Bullock County, Alabama",27.00%,"2,930",130%,SNAP,185%,Other Nutrition Program,54.80%,28.00%,17.20%,28.40%,680,71%,29%,$2.68 ,"$1,280,160.00 "
1013,AL,"Butler County, Alabama",22.70%,"4,740",130%,SNAP,185%,Other Nutrition Program,59.90%,26.20%,13.80%,25.40%,1280,81%,19%,$2.64 ,"$2,040,060.00 "
1015,AL,"Calhoun County, Alabama",17.50%,"20,550",130%,SNAP,185%,Other Nutrition Program,55.40%,18.40%,26.20%,25.60%,6910,78%,23%,$2.83 ,"$9,481,110.00 "
1017,AL,"Chambers County, Alabama",21.00%,"7,230",130%,SNAP,185%,Other Nutrition Program,55.00%,24.40%,20.70%,25.70%,2020,75%,25%,$2.52 ,"$2,970,300.00 "
1019,AL,"Cherokee County, Alabama",15.00%,"3,860",130%,SNAP,185%,Other Nutrition Program,60.20%,15.80%,24.10%,30.70%,1640,74%,26%,$2.65 ,"$1,667,610.00 "
1021,AL,"Chilton County, Alabama",14.50%,"6,310",130%,SNAP,185%,Other Nutrition Program,62.40%,17.10%,20.50%,25.70%,2800,84%,16%,$2.62 ,"$2,695,200.00 "
1023,AL,"Choctaw County, Alabama",19.90%,"2,780",130%,SNAP,185%,Other Nutrition Program,56.00%,24.90%,19.10%,22.60%,720,72%,28%,$2.64 ,"$1,196,490.00 "
1025,AL,"Clarke County, Alabama",24.40%,"6,360",130%,SNAP,185%,Other Nutrition Program,56.60%,18.70%,24.70%,28.50%,1880,73%,27%,$2.58 ,"$2,675,090.00 "
1027,AL,"Clay County, Alabama",17.60%,"2,460",130%,SNAP,185%,Other Nutrition Program,53.40%,23.70%,22.90%,26.10%,820,85%,15%,$2.73 ,"$1,094,860.00 "
1029,AL,"Cleburne County, Alabama",13.40%,"1,990",130%,SNAP,185%,Other Nutrition Program,55.00%,28.00%,16.90%,26.60%,950,75%,25%,$2.66 ,"$862,970.00 "
1031,AL,"Coffee County, Alabama",15.10%,"7,430",130%,SNAP,185%,Other Nutrition Program,56.90%,16.20%,26.90%,24.60%,2920,74%,26%,$2.85 ,"$3,452,190.00 "
1033,AL,"Colbert County, Alabama",15.80%,"8,600",130%,SNAP,185%,Other Nutrition Program,50.90%,20.70%,28.40%,25.40%,3070,77%,23%,$2.69 ,"$3,771,480.00 "
1035,AL,"Conecuh County, Alabama",24.40%,"3,250",130%,SNAP,185%,Other Nutrition Program,67.30%,24.60%,8.10%,27.00%,840,91%,9%,$2.78 ,"$1,472,950.00 "
1037,AL,"Coosa County, Alabama",17.80%,"2,010",130%,SNAP,185%,Other Nutrition Program,53.20%,22.50%,24.30%,22.90%,540,93%,7%,$2.82 ,"$924,070.00 "
1039,AL,"Covington County, Alabama",16.30%,"6,160",130%,SNAP,185%,Other Nutrition Program,63.20%,21.20%,15.60%,27.70%,2370,83%,17%,$2.83 ,"$2,842,030.00 "
1041,AL,"Crenshaw County, Alabama",16.80%,"2,350",130%,SNAP,185%,Other Nutrition Program,50.40%,25.20%,24.40%,24.70%,820,80%,20%,$2.63 ,"$1,007,590.00 "
1043,AL,"Cullman County, Alabama",13.40%,"10,760",130%,SNAP,185%,Other Nutrition Program,58.80%,21.40%,19.70%,26.60%,4970,83%,17%,$2.82 ,"$4,946,770.00 "
1045,AL,"Dale County, Alabama",16.60%,"8,300",130%,SNAP,185%,Other Nutrition Program,46.90%,20.30%,32.80%,23.90%,2960,72%,28%,$2.50 ,"$3,382,820.00 "
1047,AL,"Dallas County, Alabama",31.50%,"13,800",130%,SNAP,185%,Other Nutrition Program,64.00%,22.90%,13.00%,31.40%,3680,68%,32%,$2.70 ,"$6,074,400.00 "
1049,AL,"DeKalb County, Alabama",15.30%,"10,810",130%,SNAP,185%,Other Nutrition Program,62.40%,20.60%,16.90%,30.90%,5660,88%,12%,$2.66 ,"$4,687,790.00 "
1051,AL,"Elmore County, Alabama",14.40%,"11,290",130%,SNAP,185%,Other Nutrition Program,36.40%,18.50%,45.10%,21.00%,3940,67%,33%,$2.80 ,"$5,153,620.00 "
1053,AL,"Escambia County, Alabama",20.10%,"7,670",130%,SNAP,185%,Other Nutrition Program,55.90%,20.50%,23.60%,27.10%,2400,82%,18%,$2.79 ,"$3,488,670.00 "
1055,AL,"Etowah County, Alabama",16.00%,"16,630",130%,SNAP,185%,Other Nutrition Program,55.20%,20.00%,24.80%,25.80%,6220,79%,22%,$2.51 ,"$6,804,980.00 "
1057,AL,"Fayette County, Alabama",16.70%,"2,910",130%,SNAP,185%,Other Nutrition Program,52.90%,22.40%,24.70%,27.80%,1070,83%,17%,$2.75 ,"$1,304,630.00 "
1059,AL,"Franklin County, Alabama",15.50%,"4,890",130%,SNAP,185%,Other Nutrition Program,61.20%,21.10%,17.70%,29.00%,2250,90%,11%,$2.56 ,"$2,040,840.00 "
1061,AL,"Geneva County, Alabama",15.30%,"4,080",130%,SNAP,185%,Other Nutrition Program,62.10%,28.20%,9.70%,27.40%,1640,90%,10%,$2.71 ,"$1,802,560.00 "
1063,AL,"Greene County, Alabama",30.00%,"2,750",130%,SNAP,185%,Other Nutrition Program,71.60%,27.80%,0.60%,26.20%,600,72%,28%,$2.82 ,"$1,264,280.00 "
1065,AL,"Hale County, Alabama",24.30%,"3,880",130%,SNAP,185%,Other Nutrition Program,58.90%,33.20%,7.90%,23.20%,930,84%,16%,$2.79 ,"$1,764,800.00 "
1067,AL,"Henry County, Alabama",15.60%,"2,690",130%,SNAP,185%,Other Nutrition Program,46.30%,26.10%,27.70%,21.70%,840,83%,17%,$2.74 ,"$1,201,610.00 "
1069,AL,"Houston County, Alabama",17.00%,"17,070",130%,SNAP,185%,Other Nutrition Program,51.40%,22.30%,26.30%,23.70%,5870,74%,26%,$2.79 ,"$7,764,230.00 "
1071,AL,"Jackson County, Alabama",13.90%,"7,430",130%,SNAP,185%,Other Nutrition Program,60.60%,21.00%,18.50%,25.10%,3040,91%,9%,$2.77 ,"$3,355,280.00 "
1073,AL,"Jefferson County, Alabama",19.10%,"125,550",130%,SNAP,185%,Other Nutrition Program,44.30%,21.20%,34.50%,19.90%,30860,67%,33%,$2.48 ,"$50,760,880.00 "
1075,AL,"Lamar County, Alabama",16.40%,"2,400",130%,SNAP,185%,Other Nutrition Program,52.30%,30.20%,17.60%,26.30%,870,95%,5%,$2.65 ,"$1,036,850.00 "
1077,AL,"Lauderdale County, Alabama",15.00%,"13,860",130%,SNAP,185%,Other Nutrition Program,53.00%,20.30%,26.60%,24.50%,4890,81%,19%,$2.43 ,"$5,490,730.00 "
1079,AL,"Lawrence County, Alabama",14.80%,"5,070",130%,SNAP,185%,Other Nutrition Program,49.40%,29.00%,21.60%,24.50%,1960,91%,9%,$2.61 ,"$2,157,290.00 "
1081,AL,"Lee County, Alabama",17.20%,"23,770",130%,SNAP,185%,Other Nutrition Program,53.90%,19.70%,26.40%,19.90%,6170,68%,32%,$2.86 ,"$11,082,970.00 "
1083,AL,"Limestone County, Alabama",13.40%,"10,810",130%,SNAP,185%,Other Nutrition Program,46.10%,18.40%,35.50%,22.20%,4310,72%,28%,$2.78 ,"$4,899,270.00 "
1085,AL,"Lowndes County, Alabama",29.20%,"3,370",130%,SNAP,185%,Other Nutrition Program,54.40%,28.00%,17.50%,26.20%,750,67%,33%,$2.65 ,"$1,455,920.00 "
1087,AL,"Macon County, Alabama",28.20%,"6,050",130%,SNAP,185%,Other Nutrition Program,48.70%,25.80%,25.60%,22.90%,1020,65%,35%,$3.04 ,"$2,998,400.00 "
1089,AL,"Madison County, Alabama",15.00%,"49,430",130%,SNAP,185%,Other Nutrition Program,39.40%,16.20%,44.40%,19.80%,15570,62%,38%,$2.54 ,"$20,468,460.00 "
1091,AL,"Marengo County, Alabama",22.60%,"4,780",130%,SNAP,185%,Other Nutrition Program,52.90%,26.30%,20.80%,21.00%,1120,74%,26%,$2.71 ,"$2,111,830.00 "
1093,AL,"Marion County, Alabama",16.40%,"5,050",130%,SNAP,185%,Other Nutrition Program,57.70%,20.80%,21.50%,31.40%,2100,86%,15%,$2.65 ,"$2,181,720.00 "
1095,AL,"Marshall County, Alabama",14.40%,"13,220",130%,SNAP,185%,Other Nutrition Program,63.80%,17.20%,18.90%,29.40%,6820,82%,18%,$2.60 ,"$5,603,580.00 "
1097,AL,"Mobile County, Alabama",19.60%,"80,620",130%,SNAP,185%,Other Nutrition Program,50.90%,22.10%,27.00%,23.60%,24490,75%,25%,$2.78 ,"$36,538,300.00 "
1099,AL,"Monroe County, Alabama",24.60%,"5,700",130%,SNAP,185%,Other Nutrition Program,62.00%,22.90%,15.10%,31.10%,1830,85%,15%,$2.80 ,"$2,601,920.00 "
1101,AL,"Montgomery County, Alabama",21.80%,"49,880",130%,SNAP,185%,Other Nutrition Program,47.50%,20.60%,32.00%,20.90%,11830,65%,35%,$2.56 ,"$20,817,430.00 "
1103,AL,"Morgan County, Alabama",14.60%,"17,340",130%,SNAP,185%,Other Nutrition Program,48.50%,20.30%,31.10%,24.80%,7070,77%,23%,$2.38 ,"$6,728,010.00 "
1105,AL,"Perry County, Alabama",29.30%,"3,120",130%,SNAP,185%,Other Nutrition Program,59.50%,36.70%,3.80%,26.40%,700,88%,12%,$2.66 ,"$1,353,000.00 "
1107,AL,"Pickens County, Alabama",22.30%,"4,400",130%,SNAP,185%,Other Nutrition Program,62.10%,16.50%,21.40%,25.80%,1230,72%,29%,$2.78 ,"$1,994,150.00 "
