FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,2011 Cost Per Meal,2011 Weighted Annual Food Budget Shortfall
1,Alabama,AL,19.50%,936410,130.00%,SNAP,185.00%,Other Nutrition Program,51.20%,20.50%,28.30%,26.30%,292740,75%,25%,$2.64 ,"$403,023,850 "
2,Alaska,AK,14.70%,106200,130.00%,SNAP,185.00%,Other Nutrition Program,41.60%,22.70%,35.70%,20.30%,37640,65%,35%,$2.90 ,"$50,209,200 "
4,Arizona,AZ,19.10%,1237540,185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",68.50%,0.00%,31.50%,29.90%,478420,72%,28%,$2.49 ,"$502,364,990 "
5,Arkansas,AR,19.70%,579200,130.00%,SNAP,185.00%,Other Nutrition Program,52.30%,20.10%,27.70%,28.40%,198750,73%,27%,$2.51 ,"$237,008,030 "
6,California,CA,17.40%,6568450,130.00%,SNAP,185.00%,Other Nutrition Program,54.00%,18.70%,27.30%,27.30%,2487750,71%,29%,$2.73 ,"$2,923,387,080 "
8,Colorado,CO,15.50%,795300,130.00%,SNAP,185.00%,Other Nutrition Program,46.00%,18.40%,35.60%,21.90%,266090,64%,36%,$2.72 ,"$352,663,620 "
9,Connecticut,CT,14.50%,520350,185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",54.00%,0.00%,46.00%,19.80%,157550,58%,42%,$2.82 ,"$239,224,380 "
10,Delaware,DE,13.20%,120020,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",59.10%,0.00%,40.90%,18.30%,36860,71%,29%,$2.75 ,"$53,808,030 "
11,District of Columbia,DC,15.70%,97120,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",61.10%,0.00%,38.90%,30.00%,31460,63%,37%,$3.57 ,"$56,524,620 "
12,Florida,FL,18.70%,3558910,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",67.60%,0.00%,32.40%,28.40%,1118050,69%,31%,$2.76 ,"$1,601,352,210 "
13,Georgia,GA,20.00%,1965340,130.00%,SNAP,185.00%,Other Nutrition Program,52.70%,18.90%,28.40%,28.80%,707390,70%,30%,$2.59 ,"$829,847,390 "
15,Hawaii,HI,14.60%,200100,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",52.00%,0.00%,48.00%,23.70%,71020,52%,48%,$2.68 ,"$87,426,410 "
16,Idaho,ID,17.30%,274230,130.00%,SNAP,185.00%,Other Nutrition Program,45.80%,23.30%,30.80%,23.00%,96090,67%,33%,$2.63 ,"$117,579,470 "
17,Illinois,IL,15.20%,1957450,130.00%,SNAP,185.00%,Other Nutrition Program,50.20%,17.10%,32.80%,22.70%,692100,68%,32%,$2.39 ,"$762,692,290 "
18,Indiana,IN,16.30%,1063990,130.00%,SNAP,185.00%,Other Nutrition Program,52.40%,16.90%,30.70%,22.70%,355780,69%,31%,$2.33 ,"$404,160,850 "
19,Iowa,IA,12.90%,395620,160.00%,SNAP,185.00%,Other Nutrition Program,53.10%,9.30%,37.70%,19.30%,137120,60%,40%,$2.36 ,"$152,212,750 "
20,Kansas,KS,15.10%,433260,130.00%,SNAP,185.00%,Other Nutrition Program,47.10%,18.00%,34.90%,22.60%,160770,67%,33%,$2.51 ,"$177,289,530 "
21,Kentucky,KY,17.20%,749490,130.00%,SNAP,185.00%,Other Nutrition Program,55.50%,16.60%,27.90%,22.40%,224800,75%,25%,$2.41 ,"$294,471,770 "
22,Louisiana,LA,17.10%,784450,130.00%,SNAP,185.00%,Other Nutrition Program,56.40%,16.30%,27.20%,23.50%,259520,70%,30%,$2.60 ,"$332,505,930 "
23,Maine,ME,15.70%,208620,185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",65.10%,0.00%,34.90%,23.90%,62810,69%,31%,$2.98 ,"$101,352,150 "
24,Maryland,MD,13.40%,781200,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",53.50%,0.00%,46.50%,19.00%,251730,57%,43%,$2.75 ,"$350,231,900 "
25,Massachusetts,MA,12.30%,809920,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",56.40%,0.00%,43.60%,16.50%,229170,61%,39%,$2.94 ,"$388,195,260 "
26,Michigan,MI,17.90%,1769790,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",68.70%,0.00%,31.30%,23.70%,533470,69%,31%,$2.43 ,"$701,114,240 "
