FIPS,State Name,State,2013 Food Insecurity Rate,# of Food Insecure Persons in 2013 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2013 Child Food Insecurity Rate,# of Food Insecure Children in 2013,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2013,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2013,2013 Cost Per Meal,2013 Weighted Annual Food Budget Shortfall
1,Alabama,AL,18.80%,"908,770",130%,SNAP,185%,Other Nutrition Program,53.90%,17.70%,28.40%,26.20%,"294,060",76%,24%,$2.76 ,"$444,265,000 "
2,Alaska,AK,14.20%,"104,750",130%,SNAP,185%,Other Nutrition Program,41.10%,19.20%,39.70%,20.00%,"37,590",60%,40%,$3.19 ,"$59,107,000 "
4,Arizona,AZ,17.50%,"1,161,390",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.40%,0.00%,30.60%,28.00%,"454,460",72%,28%,$2.73 ,"$561,993,000 "
5,Arkansas,AR,19.70%,"584,270",130%,SNAP,185%,Other Nutrition Program,55.80%,16.70%,27.50%,28.40%,"201,820",76%,24%,$2.65 ,"$273,570,000 "
6,California,CA,15.00%,"5,731,740",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",78.10%,0.00%,21.90%,25.10%,"2,316,570",71%,29%,$2.99 ,"$3,037,087,000 "
8,Colorado,CO,13.90%,"733,080",130%,SNAP,185%,Other Nutrition Program,49.10%,16.40%,34.50%,20.60%,"253,000",65%,35%,$2.98 ,"$386,399,000 "
9,Connecticut,CT,13.60%,"488,350",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",54.60%,0.00%,45.40%,19.00%,"152,990",59%,41%,$2.93 ,"$253,481,000 "
10,Delaware,DE,13.20%,"122,310",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.20%,0.00%,33.80%,19.40%,"39,780",71%,29%,$2.90 ,"$62,711,000 "
11,District of Columbia,DC,15.00%,"96,940",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.40%,0.00%,26.60%,30.50%,"32,100",70%,30%,$3.51 ,"$60,267,000 "
12,Florida,FL,17.00%,"3,315,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.30%,0.00%,26.70%,26.70%,"1,071,760",70%,30%,$2.92 ,"$1,714,988,000 "
13,Georgia,GA,18.70%,"1,871,790",130%,SNAP,185%,Other Nutrition Program,55.60%,16.60%,27.80%,28.20%,"700,870",73%,27%,$2.75 ,"$910,560,000 "
15,Hawaii,HI,13.80%,"193,940",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.70%,0.00%,42.30%,22.40%,"68,450",50%,50%,$2.99 ,"$102,567,000 "
16,Idaho,ID,15.60%,"250,830",130%,SNAP,185%,Other Nutrition Program,50.10%,20.10%,29.80%,21.10%,"90,240",72%,28%,$2.78 ,"$123,492,000 "
17,Illinois,IL,13.60%,"1,755,180",130%,SNAP,185%,Other Nutrition Program,52.40%,15.40%,32.10%,20.80%,"643,040",69%,31%,$2.54 ,"$787,542,000 "
18,Indiana,IN,15.40%,"1,012,970",130%,SNAP,185%,Other Nutrition Program,56.10%,15.00%,28.90%,21.80%,"348,570",73%,27%,$2.46 ,"$440,889,000 "
19,Iowa,IA,12.60%,"389,250",160%,SNAP,185%,Other Nutrition Program,52.30%,8.10%,39.50%,19.30%,"139,850",59%,41%,$2.51 ,"$173,068,000 "
20,Kansas,KS,14.50%,"419,330",130%,SNAP,185%,Other Nutrition Program,49.40%,15.70%,34.90%,22.30%,"161,740",67%,33%,$2.68 ,"$198,903,000 "
21,Kentucky,KY,16.40%,"722,330",130%,SNAP,185%,Other Nutrition Program,57.90%,13.30%,28.70%,21.70%,"221,780",75%,25%,$2.54 ,"$324,612,000 "
22,Louisiana,LA,16.80%,"777,650",130%,SNAP,185%,Other Nutrition Program,58.40%,13.40%,28.30%,24.30%,"271,500",72%,28%,$2.73 ,"$376,268,000 "
23,Maine,ME,15.50%,"206,090",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.00%,0.00%,35.00%,22.70%,"61,080",69%,31%,$3.12 ,"$113,989,000 "
24,Maryland,MD,12.80%,"757,430",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.40%,0.00%,40.60%,19.10%,"258,110",58%,42%,$2.92 ,"$391,669,000 "
25,Massachusetts,MA,11.50%,"767,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.10%,0.00%,35.90%,16.50%,"232,150",64%,36%,$3.05 ,"$414,876,000 "
