FIPS,State Name,State,2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2018 Child Food Insecurity Rate,# of Food Insecure Children in 2018,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2018 Cost Per Meal,2018 Weighted Annual Food Budget Shortfall
1,Alabama,AL,17.00%,"829,220",130%,SNAP,185%,Other Nutrition Program,50.90%,16.00%,33.10%,23.10%,"251,800",76%,24%,$3.02 ,"$423,745,000 "
2,Alaska,AK,12.90%,"95,190",130%,SNAP,185%,Other Nutrition Program,46.70%,15.40%,37.90%,18.10%,"33,200",65%,35%,$3.60 ,"$57,930,000 "
4,Arizona,AZ,13.10%,"937,300",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",67.60%,,32.40%,19.00%,"311,390",69%,31%,$2.93 ,"$465,259,000 "
5,Arkansas,AR,17.30%,"521,490",130%,SNAP,185%,Other Nutrition Program,53.10%,15.10%,31.80%,23.10%,"162,270",75%,25%,$2.77 ,"$244,364,000 "
6,California,CA,10.80%,"4,291,830",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",76.00%,,24.00%,15.20%,"1,362,340",71%,29%,$3.28 ,"$2,385,968,000 "
8,Colorado,CO,9.90%,"566,490",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.00%,,34.00%,12.20%,"155,120",70%,30%,$3.29 ,"$315,489,000 "
9,Connecticut,CT,11.90%,"426,620",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.70%,,43.30%,16.00%,"117,660",64%,36%,$3.38 ,"$244,114,000 "
10,Delaware,DE,12.60%,"121,850",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.70%,,36.30%,19.00%,"38,680",69%,31%,$3.18 ,"$65,663,000 "
11,District of Columbia,DC,11.60%,"81,400",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.30%,,29.70%,19.10%,"24,280",74%,26%,$4.08 ,"$56,189,000 "
12,Florida,FL,13.00%,"2,768,480",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.20%,,27.80%,19.40%,"819,370",65%,35%,$3.29 ,"$1,540,830,000 "
