,Organization,Address,City,State
0,Interfaith Food Closet,6313 20th Ave Valley AL 36854,Valley,['AL']
1,Isaiah House Food Ministery,1225 Ward Ave Talladega AL 35160,Talladega,['AL']
2,Dean Foods,1004 Crenshaw Ave Gadsden AL 35904,Gadsden,['AL']
3,Wedowee Food Bank,111 4th St SW Wedowee AL 36278,Wedowee,['AL']
4,"Carlisa, Inc.",1198 Old Castleberry Road Brewton AL 36426,Brewton,['AL']
5,Fish & Loave,510 Lee St Rogersville AL 35652,Rogersville,['AL']
6,Eacm,8002 2nd Ave S Birmingham AL 35206,Birmingham,['AL']
7,Christians Helping Others Food Pantry,26469 1st St Atmore AL 36502,Atmore,['AL']
8,Elmore County Food Pantry,515 W Boundary St Wetumpka AL 36092,Wetumpka,['AL']
9,North Jefferson Baptist Association,775 Glenn Chapel Rd Gardendale AL 35071,Gardendale,['AL']
10,Huntsville Assistance Program,11588 Pulaski Pike Toney AL 35773,Toney,['AL']
11,Montgomery Area Food Bank,521 Trade Center St Montgomery AL 36108,Montgomery,['AL']
12,West Alabama Food Bank,3160 McFarland Blvd Northport AL 35476,Northport,['AL']
13,Pine Hill M S N Food Bank,3915 Broad St Pine Hill AL 36769,Pine Hill,['AL']
14,Alabama Childhood Food Solution,114 Canyon Ridge Rd Sylacauga AL 35151,Sylacauga,['AL']
15,Saco Area Mobile Food Pantry,1227 County Road 6606 Troy AL 36081,Troy,['AL']
16,Christ Chapel Whouse,210 Rose Dr Florence AL 35630,Florence,['AL']
17,Food Bank Of North Alabama,2000 Vernon Ave SW Huntsville AL 35805,Huntsville,['AL']
18,Manna House,2110 Memorial Pkwy SW Huntsville AL 35801,Huntsville,['AL']
19,Flat Rock Community Center,684 County Road 326 Flat Rock AL 35966,Flat Rock,['AL']
0,Frontline Mission,2001 E Palmer Wasilla Hwy Wasilla AK 99654,Wasilla,['AK']
1,Give & Take Food Bank,2626 Abbott Rd Anchorage AK 99507,Anchorage,['AK']
2,Fairbanks Community Food Bank,725 26th Ave Fairbanks AK 99701,Fairbanks,['AK']
3,Southeast Alaska Food Bank,10020 Crazy Horse Dr Juneau AK 99801,Juneau,['AK']
4,Homer Food Pantry,770 E End Rd Homer AK 99603,Homer,['AK']
5,Matsu Food Bank,501 E Bogard Rd Wasilla AK 99654,Wasilla,['AK']
6,Chugiak Eagle River Food Pntry,12836 Old Glenn Hwy Eagle River AK 99577,Eagle River,['AK']
7,Food Bank Of Alaska,2121 Spar Ave Anchorage AK 99501,Anchorage,['AK']
8,Food Bank,33955 Community College Dr Soldotna AK 99669,Soldotna,['AK']
9,Helping Hands of Juneau Food Bank,6590 Glacier Highway 82A Juneau AK 99801,Juneau,['AK']
0,City Of Tombstone Food Bank,Tombstone AZ 85638,Tombstone,['AZ']
1,Squatting Lizard Industries,855 N Senate St Chandler AZ 85225,Chandler,['AZ']
2,St Marys Westside Food Bank Alliance,201 E Birch Ave Ste 14 Flagstaff AZ 86001,Flagstaff,['AZ']
3,Saint Mary'S Food Bank,2831 N 31st Ave Phoenix AZ 85009,Phoenix,['AZ']
4,St Vincent De Paul Food Distr,1841 Acoma Blvd W Lake Havasu City AZ 86403,Lake Havasu City,['AZ']
5,Paradise Valley Emergency Food Bank,10862 N 32nd St Phoenix AZ 85028,Phoenix,['AZ']
6,Saint Marys Food Bank,13050 W Elm St Surprise AZ 85378,Surprise,['AZ']
7,Yavapai Food Bank,8866 E Long Mesa Dr Prescott Valley AZ 86314,Prescott Valley,['AZ']
8,Bullhead Christian Center - Praise Chapel,590 Hancock Road Bullhead City AZ 86442,Bullhead City,['AZ']
9,Yfb Needful Things,8400 E Spouse Dr Prescott Valley AZ 86314,Prescott Valley,['AZ']
10,Association Of Arizona Food Banks,2100 N Central Ave Ste 230 Sierra Vista AZ 85635,Sierra Vista,['AZ']
11,Arizona Asscation Of School Business Offices,2100 N Central Ave Ste 230 Phoenix AZ 85004,Phoenix,['AZ']
12,St Marys Food Bank,3003 W Thomas Rd Phoenix AZ 85017,Phoenix,['AZ']
13,Hope For Hunger Food Bank,5605 N 55th Ave Glendale AZ 85301,Glendale,['AZ']
